id,team_one,team_two,date,blueWin
36244,3763,3850,2025-01-11,0
36245,3851,3852,2025-01-11,1
36246,3853,3854,2025-01-11,0
36247,3855,3856,2025-01-11,0
36248,3850,3853,2025-01-12,1
36249,3763,3852,2025-01-12,1
36250,3851,3855,2025-01-12,1
36251,3854,3856,2025-01-12,1
36252,3852,3855,2025-01-18,1
36253,3851,3854,2025-01-18,0
36254,3853,3763,2025-01-18,0
36255,3850,3856,2025-01-18,1
36256,3852,3854,2025-01-19,0
36257,3850,3851,2025-01-19,1
36258,3855,3763,2025-01-19,1
36259,3853,3856,2025-01-19,1
36260,3763,3856,2025-01-25,1
36261,3850,3852,2025-01-25,1
36262,3853,3851,2025-01-25,1
36263,3856,3851,2025-01-26,0
36264,3853,3852,2025-01-26,1
36265,3763,3854,2025-01-26,1
36266,3855,3850,2025-01-26,1
36267,3857,3858,2025-01-13,1
36268,3859,3860,2025-01-13,0
36269,3861,3862,2025-01-13,0
36270,3863,3864,2025-01-14,1
36271,3865,3866,2025-01-14,1
36272,3858,3859,2025-01-16,1
36273,3865,3857,2025-01-16,1
36274,3864,3862,2025-01-16,0
36275,3860,3866,2025-01-17,1
36276,3861,3863,2025-01-17,1
36277,3864,3859,2025-01-20,1
36278,3861,3866,2025-01-20,0
36279,3858,3863,2025-01-20,1
36280,3865,3862,2025-01-21,1
36281,3860,3857,2025-01-21,1
36282,3861,3857,2025-01-23,1
36283,3866,3864,2025-01-23,0
36284,3860,3863,2025-01-23,0
36285,3859,3865,2025-01-24,0
36286,3862,3858,2025-01-24,1
36287,3867,3754,2025-01-14,1
36288,3868,3869,2025-01-14,1
36289,3870,3753,2025-01-14,0
36290,3871,3872,2025-01-14,0
36291,3873,3874,2025-01-14,1
36292,3870,3868,2025-01-15,0
36293,3872,3867,2025-01-15,0
36294,3871,3869,2025-01-15,1
36295,3753,3873,2025-01-15,0
36296,3874,3754,2025-01-15,1
36297,3869,3872,2025-01-16,0
36298,3873,3868,2025-01-16,0
36299,3867,3874,2025-01-16,0
36300,3870,3871,2025-01-16,1
36301,3754,3753,2025-01-16,0
36302,3753,3867,2025-01-21,0
36303,3754,3868,2025-01-21,0
36304,3872,3874,2025-01-21,1
36305,3871,3873,2025-01-21,1
36306,3870,3869,2025-01-21,1
36307,3873,3869,2025-01-22,1
36308,3874,3753,2025-01-22,1
36309,3871,3754,2025-01-22,1
36310,3870,3872,2025-01-22,1
36311,3867,3868,2025-01-22,1
36312,3872,3753,2025-01-23,0
36313,3754,3869,2025-01-23,0
